window,band,chanw_kHz,phi,realisation,peak_unsmoothed,peak_smoothed,unit_channel_reference,hanning_only_ratio,factor
A002_X1207c39_X9417_spw1,7,244.14,0.375,2,24.7165,15.8407,39.5464,1.5603,2.4965
A002_X1207c39_X9417_spw1,7,244.14,0.375,3,24.755,15.9207,39.6081,1.5549,2.4878
A002_X1207c39_X9417_spw1,7,244.14,0.375,4,24.8166,15.9849,39.7065,1.5525,2.484
A002_X1207c39_X9417_spw1,7,244.14,0.375,5,24.8163,15.9911,39.7061,1.5519,2.483
A002_X1207c39_X9417_spw1,7,244.14,0.375,6,24.6777,15.8729,39.4844,1.5547,2.4875
A002_X1207c39_X9417_spw1,7,244.14,0.375,7,24.6718,15.8363,39.475,1.5579,2.4927
A002_X1207c39_X9417_spw1,7,244.14,0.375,8,24.8359,16.0561,39.7374,1.5468,2.4749
A002_X1207c39_X9417_spw1,7,244.14,0.375,9,24.7117,15.8682,39.5387,1.5573,2.4917
A002_X1207c39_X9417_spw1,7,244.14,0.5,0,19.8042,14.7042,39.6084,1.3468,2.6937
A002_X1207c39_X9417_spw1,7,244.14,0.5,1,19.7609,14.735,39.5218,1.3411,2.6822
A002_X1207c39_X9417_spw1,7,244.14,0.5,2,21.4204,15.9262,42.8407,1.345,2.69
