trial,target,window,band,chanw_Hz,klass,n_int,n_chan,inj_chan,amp_sigma,dwell,realisation,sigma_per_int,recovered_snr,peak_chan,detected
165,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.4,3,0.003896629928477341,16.155035563346857,64,True
166,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.4,4,0.003896629928477341,16.377296404877068,64,True
167,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.4,5,0.003896629928477341,16.106284754122854,64,True
168,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.25,0,0.003896629928477341,9.576497553306483,64,True
169,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.25,1,0.003896629928477341,9.20981419589833,64,True
170,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.25,2,0.003896629928477341,9.285946012111607,64,True
171,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.25,3,0.003896629928477341,9.531725226749918,64,True
172,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.25,4,0.003896629928477341,9.468080735043468,64,True
173,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.25,5,0.003896629928477341,9.358457145130215,64,True
174,HIP10679_B6,A002_Xa95c04_X14cd_spw2,6,15625000.0,coarse,85,128,64,6,0.1,0,0.003896629928477341,2.9139934961805842,64,False
